"grav";"catv";"sexe";"an_nais";"trajet";"voiture";"PL";"moto";"jour";"mois";"lum";"dep";"com";"agg";"casque";"gilet"
4;80;1;1972;0;1;0;0;5;6;1;"64";"64102";2;1;0
4;1;1;1990;5;1;0;0;5;6;1;"62";"62194";2;1;0
3;1;1;1974;5;1;0;0;6;6;1;"59";"59378";1;1;0
4;1;2;1980;1;1;0;0;5;6;1;"49";"49007";2;0;0
3;1;1;1961;5;1;0;0;3;6;1;"40";"40192";2;0;0
4;1;2;2001;1;1;0;0;9;2;1;"75";"75101";2;1;0
3;1;2;1938;5;1;0;0;5;6;1;"28";"28220";2;0;0
3;1;1;2014;5;1;0;0;22;10;1;"974";"97411";1;0;0
4;1;2;2005;0;0;0;0;22;10;1;"973";"97302";2;0;0
3;1;1;2015;5;1;0;0;5;6;1;"17";"17300";2;1;1
3;1;2;2014;5;1;0;0;5;6;1;"17";"17300";2;1;1
3;1;2;2014;5;1;0;0;5;6;1;"17";"17300";2;1;1
2;1;2;2014;5;1;0;0;5;6;1;"17";"17300";2;1;1
3;1;2;2013;5;1;0;0;5;6;1;"17";"17300";2;1;1
3;1;2;2013;5;1;0;0;5;6;1;"17";"17300";2;1;1
3;1;1;2013;5;1;0;0;5;6;1;"17";"17300";2;1;1
4;1;2;1998;1;1;0;0;21;10;1;"87";"87085";2;0;0
4;1;1;1988;1;0;0;0;6;6;1;"75";"75118";2;1;0
4;1;2;1999;1;1;0;0;5;6;1;"75";"75117";2;0;0
4;1;1;2000;5;0;0;1;6;6;1;"75";"75116";2;0;0
4;1;1;2000;9;1;0;0;6;6;1;"75";"75115";2;1;0
3;1;2;1995;1;0;0;0;5;6;3;"75";"75110";2;0;0
4;1;1;1996;9;0;0;1;6;6;1;"75";"75109";2;0;0
4;1;1;1992;1;0;1;0;6;6;1;"75";"75104";2;1;0
4;80;1;1980;1;0;0;0;5;6;1;"75";"75104";2;1;0
4;1;1;1979;0;1;0;0;21;10;1;"54";"54547";1;1;0
4;1;2;2002;1;1;0;0;21;10;1;"49";"49007";2;0;0
4;1;1;1937;3;1;0;0;15;6;1;"94";"94017";2;0;0
3;80;2;1992;5;0;0;0;5;6;1;"40";"40065";2;0;0
4;1;2;2002;0;0;0;1;22;10;1;"75";"75115";2;0;0
4;1;2;2001;5;0;0;1;21;10;1;"75";"75112";2;0;0
4;1;2;1994;0;1;0;0;22;10;1;"75";"75109";2;0;0
4;80;1;1985;4;1;0;0;22;10;1;"75";"75107";2;1;0
4;1;2;1993;5;0;1;0;7;6;1;"07";"07216";1;1;0
3;1;1;1977;1;1;0;0;6;6;1;"37";"37254";1;1;0
4;1;2;1996;0;1;0;0;21;10;3;"94";"94074";2;1;0
3;1;1;2010;2;1;0;0;6;6;1;"973";"97309";2;0;0
4;1;2;2000;9;0;1;0;22;10;1;"94";"94041";2;0;0
3;1;2;1953;3;1;0;0;6;6;1;"38";"38150";2;0;0
3;1;1;1969;5;1;0;0;7;6;1;"66";"66013";1;1;0
4;1;2;1986;0;1;0;0;22;10;1;"92";"92051";2;0;0
3;1;1;1974;5;0;0;0;7;6;1;"88";"88474";1;1;0
2;1;1;1950;5;1;0;0;7;6;1;"57";"57360";1;1;0
2;1;1;1964;5;1;0;0;22;10;1;"41";"41055";1;1;0
4;1;1;1967;5;0;1;0;22;10;1;"56";"56165";2;1;0
3;80;1;1958;0;1;0;0;6;6;1;"79";"79049";1;1;1
4;1;1;1961;0;1;0;0;20;10;1;"72";"72316";1;1;0
3;1;1;1966;5;1;0;0;7;6;1;"59";"59401";1;1;0
3;80;1;1994;1;0;1;0;23;10;1;"06";"06018";1;1;0
2;1;1;1971;5;0;0;0;22;10;1;"11";"11202";1;0;0
4;1;1;2004;5;1;0;0;21;7;1;"74";"74206";2;1;0
3;1;1;2000;5;1;0;0;21;7;1;"74";"74206";2;1;0
4;1;1;2004;5;1;0;0;9;8;3;"74";"74008";2;1;0
4;1;1;1991;5;0;0;0;10;8;1;"74";"74275";1;1;0
3;1;1;1983;1;1;0;0;22;3;1;"75";"75112";2;0;0
4;1;2;2019;5;1;0;0;21;3;1;"94";"94068";2;0;0
2;1;1;1972;0;0;0;1;21;3;3;"94";"94037";2;0;0
4;1;1;1970;5;0;0;0;22;3;3;"92";"92046";2;1;0
4;1;1;1999;1;1;0;0;21;3;1;"92";"92012";2;0;0
3;1;1;1953;5;0;0;0;23;3;1;"63";"63453";2;1;0
3;1;2;1992;5;1;0;0;21;3;2;"49";"49008";1;1;1
3;1;1;1953;5;0;0;1;22;3;1;"25";"25529";2;1;0
4;1;1;1953;5;1;0;0;10;7;1;"35";"35023";2;1;0
4;1;2;1971;1;1;0;0;9;7;2;"90";"90091";1;1;0
3;1;1;1949;5;0;0;0;9;7;1;"21";"21071";1;1;0
